,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
62,야간,팔달구,서리/결빙,비,1.0,3.0,3.0,4.0,11.0,16.86455342431269,4.488599348534202,4.363636363636363,4.875,4.798319327731092,29.525555039901658,51.39778575036766
63,주간,장안구,서리/결빙,비,2.0,2.0,3.0,4.0,11.0,16.601022846045502,4.476795931341386,4.474332648870637,4.875,4.798319327731092,29.624447907943114,51.720534471348415
64,야간,장안구,서리/결빙,맑음,1.0,2.0,3.0,5.0,11.0,16.99084481884542,4.488599348534202,4.474332648870637,4.875,4.460807600950119,29.298739598354956,50.366302651026075
65,야간,영통구,젖음/습기,맑음,1.0,1.0,4.0,5.0,11.0,17.117136213378153,4.488599348534202,4.492957746478873,4.841059602649007,4.460807600950119,29.2834242986122,50.6498335103597
66,야간,권선구,젖음/습기,눈,1.0,4.0,4.0,2.0,11.0,16.73826202977996,4.488599348534202,4.588550983899821,4.841059602649007,3.5714285714285716,28.489638506511604,49.34989883758666
67,야간,권선구,서리/결빙,흐림,1.0,4.0,3.0,3.0,11.0,16.73826202977996,4.488599348534202,4.588550983899821,4.875,4.421875,29.374025332434023,50.73342828413348
68,주간,권선구,젖음/습기,기타,2.0,4.0,4.0,1.0,11.0,16.348440056980042,4.476795931341386,4.588550983899821,4.841059602649007,4.833333333333333,29.739739851223547,51.505367542211424
69,주간,장안구,건조,눈,2.0,2.0,5.0,2.0,11.0,16.601022846045502,4.476795931341386,4.474332648870637,4.444769140853302,3.5714285714285716,27.967326292493897,47.268960007547705
70,야간,권선구,건조,기타,1.0,4.0,5.0,1.0,11.0,16.73826202977996,4.488599348534202,4.588550983899821,4.444769140853302,4.833333333333333,29.35525280662066,49.89998232173333
71,주간,영통구,젖음/습기,비,2.0,1.0,4.0,4.0,11.0,16.727314240578238,4.476795931341386,4.492957746478873,4.841059602649007,4.798319327731092,29.60913260820036,52.00406533068204
72,주간,권선구,기타,흐림,2.0,4.0,2.0,3.0,11.0,16.348440056980042,4.476795931341386,4.588550983899821,4.666666666666667,4.421875,29.153888581907875,49.90675413161539
73,주간,팔달구,젖음/습기,눈,2.0,3.0,4.0,2.0,11.0,16.474731451512774,4.476795931341386,4.363636363636363,4.841059602649007,3.5714285714285716,28.25292046905533,48.55159650704504
74,주간,장안구,기타,맑음,2.0,2.0,2.0,5.0,11.0,16.601022846045502,4.476795931341386,4.474332648870637,4.666666666666667,4.460807600950119,29.078602847828808,49.53962849850797
75,주간,팔달구,건조,기타,2.0,3.0,5.0,1.0,11.0,16.474731451512774,4.476795931341386,4.363636363636363,4.444769140853302,4.833333333333333,29.118534769164384,49.10167999119171
76,야간,팔달구,젖음/습기,흐림,1.0,3.0,4.0,3.0,11.0,16.864553424312692,4.488599348534202,4.363636363636363,4.841059602649007,4.421875,29.115170314819572,50.20937185003932
77,주간,팔달구,서리/결빙,흐림,2.0,3.0,3.0,3.0,11.0,16.474731451512774,4.476795931341386,4.363636363636363,4.875,4.421875,29.13730729497775,49.935125953591864
78,야간,팔달구,기타,맑음,1.0,3.0,2.0,5.0,11.0,16.86455342431269,4.488599348534202,4.363636363636363,4.666666666666667,4.460807600950119,28.97970997978735,49.21687977752722
79,야간,팔달구,건조,눈,1.0,3.0,5.0,2.0,11.0,16.86455342431269,4.488599348534202,4.363636363636363,4.444769140853302,3.5714285714285716,27.86843342445244,46.94621128656695
80,주간,권선구,서리/결빙,눈,2.0,4.0,3.0,2.0,11.0,16.348440056980042,4.476795931341386,4.588550983899821,4.875,3.5714285714285716,28.51177548666978,49.075652941139204
81,주간,팔달구,기타,비,2.0,3.0,2.0,4.0,11.0,16.474731451512774,4.476795931341386,4.363636363636363,4.666666666666667,4.798319327731092,29.30541828937551,50.571111597849566
82,야간,장안구,젖음/습기,비,1.0,2.0,4.0,4.0,11.0,16.99084481884542,4.488599348534202,4.474332648870637,4.841059602649007,4.798319327731092,29.602310927784938,51.99478036779587
83,주간,팔달구,적설,맑음,2.0,3.0,1.0,5.0,11.0,16.474731451512774,4.476795931341386,4.363636363636363,4.25,4.460807600950119,28.551239895927868,48.59853895834246
