,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
101,팔달구,인계동,야간,서리/결빙,비,52.0,1.0,3.0,4.0,60.0,112.2143949117794
102,팔달구,인계동,야간,건조,눈,52.0,1.0,5.0,2.0,60.0,112.21439491177941
103,장안구,정자동,야간,기타,흐림,54.0,1.0,2.0,3.0,60.0,114.01895642408115
104,장안구,정자동,야간,젖음/습기,기타,54.0,1.0,4.0,1.0,60.0,114.01895642408115
105,장안구,정자동,주간,적설,흐림,54.0,2.0,1.0,3.0,60.0,113.96127749992326
106,권선구,세류동,야간,건조,맑음,49.0,1.0,5.0,5.0,60.0,109.5075526433268
107,팔달구,우만동,야간,젖음/습기,맑음,50.0,1.0,4.0,5.0,60.0,110.40983339947766
108,장안구,정자동,주간,기타,눈,54.0,2.0,2.0,2.0,60.0,113.96127749992326
109,팔달구,인계동,야간,젖음/습기,흐림,52.0,1.0,4.0,3.0,60.0,112.21439491177941
110,팔달구,인계동,주간,기타,비,52.0,2.0,2.0,4.0,60.0,112.15671598762151
111,팔달구,인계동,주간,서리/결빙,흐림,52.0,2.0,3.0,3.0,60.0,112.15671598762151
112,권선구,권선동,주간,서리/결빙,눈,53.0,2.0,3.0,2.0,60.0,113.05899674377238
113,권선구,권선동,주간,기타,흐림,53.0,2.0,2.0,3.0,60.0,113.0589967437724
114,권선구,권선동,주간,적설,비,53.0,2.0,1.0,4.0,60.0,113.05899674377238
115,권선구,권선동,야간,서리/결빙,흐림,53.0,1.0,3.0,3.0,60.0,113.11667566793028
116,권선구,권선동,주간,젖음/습기,기타,53.0,2.0,4.0,1.0,60.0,113.0589967437724
117,권선구,권선동,야간,건조,기타,53.0,1.0,5.0,1.0,60.0,113.1166756679303
118,장안구,영화동,야간,젖음/습기,비,51.0,1.0,4.0,4.0,60.0,111.31211415562854
119,팔달구,우만동,주간,젖음/습기,비,50.0,2.0,4.0,4.0,60.0,110.35215447531976
120,권선구,세류동,주간,젖음/습기,맑음,49.0,2.0,4.0,5.0,60.0,109.4498737191689
121,팔달구,우만동,야간,건조,비,50.0,1.0,5.0,4.0,60.0,110.40983339947766
122,팔달구,우만동,주간,건조,흐림,50.0,2.0,5.0,3.0,60.0,110.35215447531978
123,권선구,세류동,주간,건조,비,49.0,2.0,5.0,4.0,60.0,109.4498737191689
124,권선구,권선동,야간,젖음/습기,눈,53.0,1.0,4.0,2.0,60.0,113.11667566793028
125,권선구,권선동,야간,적설,맑음,53.0,1.0,1.0,5.0,60.0,113.11667566793028
126,장안구,정자동,야간,적설,비,54.0,1.0,1.0,4.0,60.0,114.01895642408114
127,팔달구,인계동,주간,건조,기타,52.0,2.0,5.0,1.0,60.0,112.15671598762152
128,권선구,권선동,야간,기타,비,53.0,1.0,2.0,4.0,60.0,113.11667566793028
129,팔달구,우만동,주간,서리/결빙,맑음,50.0,2.0,3.0,5.0,60.0,110.35215447531976
130,장안구,영화동,주간,건조,기타,51.0,2.0,5.0,1.0,59.0,110.16521065620246
