,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
661,영통구,원천동,야간,건조,눈,41.0,1.0,5.0,2.0,49.0,90.30783626616963
662,장안구,연무동,주간,건조,흐림,39.0,2.0,5.0,3.0,49.0,88.44559582971
663,권선구,구운동,주간,서리/결빙,눈,42.0,2.0,3.0,2.0,49.0,91.1524380981626
664,장안구,연무동,주간,서리/결빙,맑음,39.0,2.0,3.0,5.0,49.0,88.44559582970999
665,장안구,조원동,주간,건조,맑음,37.0,2.0,5.0,5.0,49.0,86.64103431740826
666,권선구,고색동,야간,서리/결빙,눈,43.0,1.0,3.0,2.0,49.0,92.11239777847136
667,권선구,고색동,야간,젖음/습기,기타,43.0,1.0,4.0,1.0,49.0,92.11239777847138
668,영통구,매탄동,야간,기타,기타,45.0,1.0,2.0,1.0,49.0,93.91695929077312
669,권선구,고색동,야간,기타,흐림,43.0,1.0,2.0,3.0,49.0,92.11239777847138
670,권선구,고색동,주간,적설,흐림,43.0,2.0,1.0,3.0,49.0,92.05471885431348
671,권선구,고색동,야간,적설,비,43.0,1.0,1.0,4.0,49.0,92.11239777847136
672,영통구,매탄동,주간,적설,기타,45.0,2.0,1.0,1.0,49.0,93.85928036661522
673,장안구,조원동,주간,건조,비,37.0,2.0,5.0,4.0,48.0,85.55180974214005
674,장안구,연무동,주간,젖음/습기,흐림,39.0,2.0,4.0,3.0,48.0,87.3563712544418
675,장안구,파장동,주간,서리/결빙,비,39.0,2.0,3.0,4.0,48.0,87.35637125444178
676,장안구,연무동,야간,건조,흐림,39.0,1.0,5.0,3.0,48.0,87.4140501785997
677,권선구,고색동,주간,적설,눈,43.0,2.0,1.0,2.0,48.0,90.96549427904527
678,영통구,영통동,야간,적설,눈,44.0,1.0,1.0,2.0,48.0,91.92545395935404
679,권선구,고색동,주간,기타,기타,43.0,2.0,2.0,1.0,48.0,90.96549427904529
680,장안구,조원동,주간,젖음/습기,맑음,37.0,2.0,4.0,5.0,48.0,85.55180974214005
681,장안구,파장동,주간,젖음/습기,흐림,39.0,2.0,4.0,3.0,48.0,87.3563712544418
682,장안구,연무동,야간,젖음/습기,비,39.0,1.0,4.0,4.0,48.0,87.41405017859968
683,영통구,영통동,야간,기타,기타,44.0,1.0,2.0,1.0,48.0,91.92545395935406
684,권선구,구운동,주간,기타,눈,42.0,2.0,2.0,2.0,48.0,90.06321352289442
685,장안구,연무동,주간,건조,눈,39.0,2.0,5.0,2.0,48.0,87.3563712544418
686,장안구,파장동,주간,건조,눈,39.0,2.0,5.0,2.0,48.0,87.3563712544418
687,장안구,연무동,야간,서리/결빙,맑음,39.0,1.0,3.0,5.0,48.0,87.41405017859968
688,권선구,구운동,주간,서리/결빙,기타,42.0,2.0,3.0,1.0,48.0,90.06321352289442
689,장안구,연무동,주간,서리/결빙,비,39.0,2.0,3.0,4.0,48.0,87.35637125444178
690,장안구,파장동,주간,기타,맑음,39.0,2.0,2.0,5.0,48.0,87.3563712544418
691,장안구,연무동,주간,기타,맑음,39.0,2.0,2.0,5.0,48.0,87.3563712544418
692,영통구,원천동,야간,건조,기타,41.0,1.0,5.0,1.0,48.0,89.21861169090144
693,장안구,송죽동,주간,건조,눈,39.0,2.0,5.0,2.0,48.0,87.3563712544418
694,영통구,원천동,주간,젖음/습기,기타,41.0,2.0,4.0,1.0,48.0,89.16093276674354
695,영통구,원천동,주간,적설,비,41.0,2.0,1.0,4.0,48.0,89.16093276674353
696,영통구,영통동,주간,적설,기타,44.0,2.0,1.0,1.0,48.0,91.86777503519616
697,장안구,송죽동,주간,서리/결빙,비,39.0,2.0,3.0,4.0,48.0,87.35637125444178
698,권선구,고색동,야간,기타,눈,43.0,1.0,2.0,2.0,48.0,91.02317320320317
699,권선구,고색동,야간,적설,흐림,43.0,1.0,1.0,3.0,48.0,91.02317320320317
700,장안구,송죽동,야간,건조,흐림,39.0,1.0,5.0,3.0,48.0,87.4140501785997
701,장안구,송죽동,야간,서리/결빙,맑음,39.0,1.0,3.0,5.0,48.0,87.41405017859968
702,장안구,송죽동,야간,젖음/습기,비,39.0,1.0,4.0,4.0,48.0,87.41405017859968
703,장안구,조원동,야간,건조,맑음,37.0,1.0,5.0,5.0,48.0,85.60948866629795
704,권선구,구운동,야간,적설,비,42.0,1.0,1.0,4.0,48.0,90.1208924470523
705,권선구,구운동,야간,기타,흐림,42.0,1.0,2.0,3.0,48.0,90.12089244705231
706,권선구,구운동,야간,젖음/습기,기타,42.0,1.0,4.0,1.0,48.0,90.12089244705231
707,권선구,호매실동,주간,건조,맑음,36.0,2.0,5.0,5.0,48.0,84.64952898598918
708,영통구,매탄동,야간,적설,기타,45.0,1.0,1.0,1.0,48.0,92.82773471550492
709,권선구,구운동,야간,서리/결빙,눈,42.0,1.0,3.0,2.0,48.0,90.1208924470523
710,영통구,원천동,주간,기타,흐림,41.0,2.0,2.0,3.0,48.0,89.16093276674354
711,권선구,고색동,야간,서리/결빙,기타,43.0,1.0,3.0,1.0,48.0,91.02317320320317
712,권선구,구운동,주간,적설,흐림,42.0,2.0,1.0,3.0,48.0,90.06321352289442
713,장안구,파장동,야간,건조,흐림,39.0,1.0,5.0,3.0,48.0,87.4140501785997
714,영통구,원천동,야간,서리/결빙,흐림,41.0,1.0,3.0,3.0,48.0,89.21861169090143
715,영통구,원천동,주간,서리/결빙,눈,41.0,2.0,3.0,2.0,48.0,89.16093276674353
716,장안구,파장동,야간,서리/결빙,맑음,39.0,1.0,3.0,5.0,48.0,87.41405017859968
717,영통구,원천동,야간,기타,비,41.0,1.0,2.0,4.0,48.0,89.21861169090143
718,영통구,원천동,야간,적설,맑음,41.0,1.0,1.0,5.0,48.0,89.21861169090143
719,장안구,송죽동,주간,기타,맑음,39.0,2.0,2.0,5.0,48.0,87.3563712544418
720,장안구,송죽동,주간,젖음/습기,흐림,39.0,2.0,4.0,3.0,48.0,87.3563712544418
721,영통구,원천동,야간,젖음/습기,눈,41.0,1.0,4.0,2.0,48.0,89.21861169090143
722,장안구,파장동,야간,젖음/습기,비,39.0,1.0,4.0,4.0,48.0,87.41405017859968
723,장안구,파장동,야간,건조,눈,39.0,1.0,5.0,2.0,47.0,86.32482560333149
724,장안구,연무동,야간,기타,맑음,39.0,1.0,2.0,5.0,47.0,86.32482560333149
725,장안구,파장동,야간,서리/결빙,비,39.0,1.0,3.0,4.0,47.0,86.32482560333148
726,장안구,파장동,야간,젖음/습기,흐림,39.0,1.0,4.0,3.0,47.0,86.32482560333149
727,장안구,연무동,야간,서리/결빙,비,39.0,1.0,3.0,4.0,47.0,86.32482560333148
728,장안구,송죽동,야간,기타,맑음,39.0,1.0,2.0,5.0,47.0,86.32482560333149
729,장안구,연무동,야간,젖음/습기,흐림,39.0,1.0,4.0,3.0,47.0,86.32482560333149
730,팔달구,지동,주간,건조,맑음,35.0,2.0,5.0,5.0,47.0,82.65802365457012
731,영통구,원천동,야간,서리/결빙,눈,41.0,1.0,3.0,2.0,47.0,88.12938711563322
732,장안구,송죽동,야간,젖음/습기,흐림,39.0,1.0,4.0,3.0,47.0,86.32482560333149
733,장안구,송죽동,야간,서리/결빙,비,39.0,1.0,3.0,4.0,47.0,86.32482560333148
734,영통구,원천동,야간,적설,비,41.0,1.0,1.0,4.0,47.0,88.12938711563322
735,장안구,송죽동,야간,건조,눈,39.0,1.0,5.0,2.0,47.0,86.32482560333149
736,권선구,고색동,야간,적설,눈,43.0,1.0,1.0,2.0,47.0,89.93394862793497
737,권선구,호매실동,야간,건조,맑음,36.0,1.0,5.0,5.0,47.0,83.61798333487887
738,권선구,고색동,야간,기타,기타,43.0,1.0,2.0,1.0,47.0,89.93394862793498
739,장안구,조원동,주간,건조,흐림,37.0,2.0,5.0,3.0,47.0,84.46258516687186
740,장안구,조원동,주간,서리/결빙,맑음,37.0,2.0,3.0,5.0,47.0,84.46258516687185
741,장안구,조원동,주간,젖음/습기,비,37.0,2.0,4.0,4.0,47.0,84.46258516687185
742,영통구,원천동,야간,기타,흐림,41.0,1.0,2.0,3.0,47.0,88.12938711563324
743,영통구,영통동,야간,적설,기타,44.0,1.0,1.0,1.0,47.0,90.83622938408585
744,영통구,원천동,야간,젖음/습기,기타,41.0,1.0,4.0,1.0,47.0,88.12938711563324
745,장안구,파장동,야간,기타,맑음,39.0,1.0,2.0,5.0,47.0,86.32482560333149
746,장안구,연무동,야간,건조,눈,39.0,1.0,5.0,2.0,47.0,86.32482560333149
747,권선구,구운동,주간,적설,눈,42.0,2.0,1.0,2.0,47.0,88.97398894762621
748,장안구,파장동,주간,건조,기타,39.0,2.0,5.0,1.0,47.0,86.2671466791736
749,장안구,연무동,주간,기타,비,39.0,2.0,2.0,4.0,47.0,86.26714667917359
750,장안구,연무동,주간,젖음/습기,눈,39.0,2.0,4.0,2.0,47.0,86.26714667917359
751,영통구,원천동,주간,적설,흐림,41.0,2.0,1.0,3.0,47.0,88.07170819147534
752,장안구,연무동,주간,서리/결빙,흐림,39.0,2.0,3.0,3.0,47.0,86.26714667917359
753,장안구,연무동,주간,적설,맑음,39.0,2.0,1.0,5.0,47.0,86.26714667917359
754,장안구,연무동,주간,건조,기타,39.0,2.0,5.0,1.0,47.0,86.2671466791736
755,장안구,조원동,야간,젖음/습기,맑음,37.0,1.0,4.0,5.0,47.0,84.52026409102974
756,장안구,조원동,야간,건조,비,37.0,1.0,5.0,4.0,47.0,84.52026409102974
757,장안구,파장동,주간,기타,비,39.0,2.0,2.0,4.0,47.0,86.26714667917359
758,영통구,원천동,주간,기타,눈,41.0,2.0,2.0,2.0,47.0,88.07170819147534
759,영통구,원천동,주간,서리/결빙,기타,41.0,2.0,3.0,1.0,47.0,88.07170819147534
760,권선구,구운동,야간,적설,흐림,42.0,1.0,1.0,3.0,47.0,89.03166787178411
761,권선구,고색동,주간,적설,기타,43.0,2.0,1.0,1.0,47.0,89.87626970377708
762,장안구,송죽동,주간,건조,기타,39.0,2.0,5.0,1.0,47.0,86.2671466791736
763,권선구,구운동,야간,기타,눈,42.0,1.0,2.0,2.0,47.0,89.03166787178411
764,장안구,송죽동,주간,서리/결빙,흐림,39.0,2.0,3.0,3.0,47.0,86.26714667917359
765,장안구,파장동,주간,서리/결빙,흐림,39.0,2.0,3.0,3.0,47.0,86.26714667917359
766,권선구,구운동,주간,기타,기타,42.0,2.0,2.0,1.0,47.0,88.97398894762622
767,장안구,파장동,주간,적설,맑음,39.0,2.0,1.0,5.0,47.0,86.26714667917359
768,장안구,송죽동,주간,적설,맑음,39.0,2.0,1.0,5.0,47.0,86.26714667917359
769,권선구,호매실동,주간,건조,비,36.0,2.0,5.0,4.0,47.0,83.56030441072097
770,장안구,송죽동,주간,기타,비,39.0,2.0,2.0,4.0,47.0,86.26714667917359
771,장안구,파장동,주간,젖음/습기,눈,39.0,2.0,4.0,2.0,47.0,86.26714667917359
772,권선구,구운동,야간,서리/결빙,기타,42.0,1.0,3.0,1.0,47.0,89.03166787178411
773,장안구,송죽동,주간,젖음/습기,눈,39.0,2.0,4.0,2.0,47.0,86.26714667917359
774,권선구,호매실동,주간,젖음/습기,맑음,36.0,2.0,4.0,5.0,47.0,83.56030441072097
775,장안구,조원동,주간,기타,맑음,37.0,2.0,2.0,5.0,46.0,83.37336059160366
776,장안구,송죽동,야간,서리/결빙,흐림,39.0,1.0,3.0,3.0,46.0,85.23560102806329
777,장안구,송죽동,야간,건조,기타,39.0,1.0,5.0,1.0,46.0,85.2356010280633
778,장안구,조원동,주간,젖음/습기,흐림,37.0,2.0,4.0,3.0,46.0,83.37336059160366
779,권선구,호매실동,야간,젖음/습기,맑음,36.0,1.0,4.0,5.0,46.0,82.52875875961067
780,팔달구,지동,주간,젖음/습기,맑음,35.0,2.0,4.0,5.0,46.0,81.56879907930191
781,장안구,조원동,주간,서리/결빙,비,37.0,2.0,3.0,4.0,46.0,83.37336059160364
782,장안구,송죽동,야간,젖음/습기,눈,39.0,1.0,4.0,2.0,46.0,85.23560102806329
783,영통구,원천동,주간,기타,기타,41.0,2.0,2.0,1.0,46.0,86.98248361620715
784,권선구,고색동,야간,적설,기타,43.0,1.0,1.0,1.0,46.0,88.84472405266678
785,장안구,파장동,주간,적설,비,39.0,2.0,1.0,4.0,46.0,85.17792210390539
786,영통구,원천동,주간,적설,눈,41.0,2.0,1.0,2.0,46.0,86.98248361620713
787,팔달구,지동,야간,건조,맑음,35.0,1.0,5.0,5.0,46.0,81.62647800345981
788,장안구,파장동,야간,적설,맑음,39.0,1.0,1.0,5.0,46.0,85.23560102806329
789,영통구,원천동,야간,서리/결빙,기타,41.0,1.0,3.0,1.0,46.0,87.04016254036503
790,장안구,파장동,야간,기타,비,39.0,1.0,2.0,4.0,46.0,85.23560102806329
791,장안구,송죽동,주간,서리/결빙,눈,39.0,2.0,3.0,2.0,46.0,85.17792210390539
792,장안구,조원동,야간,젖음/습기,비,37.0,1.0,4.0,4.0,46.0,83.43103951576154
793,장안구,송죽동,주간,젖음/습기,기타,39.0,2.0,4.0,1.0,46.0,85.1779221039054
794,장안구,송죽동,주간,기타,흐림,39.0,2.0,2.0,3.0,46.0,85.1779221039054
795,영통구,원천동,야간,기타,눈,41.0,1.0,2.0,2.0,46.0,87.04016254036503
796,장안구,파장동,야간,젖음/습기,눈,39.0,1.0,4.0,2.0,46.0,85.23560102806329
797,장안구,송죽동,주간,적설,비,39.0,2.0,1.0,4.0,46.0,85.17792210390539
798,영통구,원천동,야간,적설,흐림,41.0,1.0,1.0,3.0,46.0,87.04016254036503
799,장안구,조원동,주간,건조,눈,37.0,2.0,5.0,2.0,46.0,83.37336059160366
800,장안구,파장동,야간,서리/결빙,흐림,39.0,1.0,3.0,3.0,46.0,85.23560102806329
801,장안구,파장동,야간,건조,기타,39.0,1.0,5.0,1.0,46.0,85.2356010280633
802,장안구,송죽동,야간,적설,맑음,39.0,1.0,1.0,5.0,46.0,85.23560102806329
803,장안구,연무동,야간,적설,맑음,39.0,1.0,1.0,5.0,46.0,85.23560102806329
804,권선구,호매실동,주간,젖음/습기,비,36.0,2.0,4.0,4.0,46.0,82.47107983545277
805,권선구,구운동,야간,기타,기타,42.0,1.0,2.0,1.0,46.0,87.94244329651592
806,권선구,구운동,야간,적설,눈,42.0,1.0,1.0,2.0,46.0,87.9424432965159
807,장안구,연무동,야간,젖음/습기,눈,39.0,1.0,4.0,2.0,46.0,85.23560102806329
808,장안구,파장동,주간,기타,흐림,39.0,2.0,2.0,3.0,46.0,85.1779221039054
809,권선구,호매실동,주간,건조,흐림,36.0,2.0,5.0,3.0,46.0,82.47107983545278
810,장안구,조원동,야간,건조,흐림,37.0,1.0,5.0,3.0,46.0,83.43103951576155
811,장안구,연무동,야간,서리/결빙,흐림,39.0,1.0,3.0,3.0,46.0,85.23560102806329
812,장안구,연무동,주간,서리/결빙,눈,39.0,2.0,3.0,2.0,46.0,85.17792210390539
813,권선구,구운동,주간,적설,기타,42.0,2.0,1.0,1.0,46.0,87.88476437235802
814,권선구,호매실동,주간,서리/결빙,맑음,36.0,2.0,3.0,5.0,46.0,82.47107983545277
815,권선구,금곡동,주간,건조,맑음,34.0,2.0,5.0,5.0,46.0,80.66651832315104
816,장안구,연무동,주간,젖음/습기,기타,39.0,2.0,4.0,1.0,46.0,85.1779221039054
817,장안구,연무동,주간,기타,흐림,39.0,2.0,2.0,3.0,46.0,85.1779221039054
818,장안구,연무동,야간,건조,기타,39.0,1.0,5.0,1.0,46.0,85.2356010280633
819,팔달구,지동,주간,건조,비,35.0,2.0,5.0,4.0,46.0,81.56879907930191
820,장안구,파장동,주간,젖음/습기,기타,39.0,2.0,4.0,1.0,46.0,85.1779221039054
821,권선구,호매실동,야간,건조,비,36.0,1.0,5.0,4.0,46.0,82.52875875961067
822,장안구,연무동,주간,적설,비,39.0,2.0,1.0,4.0,46.0,85.17792210390539
823,장안구,파장동,주간,서리/결빙,눈,39.0,2.0,3.0,2.0,46.0,85.17792210390539
824,장안구,조원동,야간,서리/결빙,맑음,37.0,1.0,3.0,5.0,46.0,83.43103951576154
825,장안구,송죽동,야간,기타,비,39.0,1.0,2.0,4.0,46.0,85.23560102806329
826,장안구,연무동,야간,기타,비,39.0,1.0,2.0,4.0,46.0,85.23560102806329
827,영통구,원천동,야간,기타,기타,41.0,1.0,2.0,1.0,45.0,85.95093796509684
828,장안구,파장동,야간,젖음/습기,기타,39.0,1.0,4.0,1.0,45.0,84.1463764527951
829,권선구,호매실동,주간,젖음/습기,흐림,36.0,2.0,4.0,3.0,45.0,81.38185526018458
830,영통구,원천동,야간,적설,눈,41.0,1.0,1.0,2.0,45.0,85.95093796509683
831,장안구,조원동,야간,기타,맑음,37.0,1.0,2.0,5.0,45.0,82.34181494049335
832,권선구,호매실동,주간,건조,눈,36.0,2.0,5.0,2.0,45.0,81.38185526018458
833,권선구,금곡동,주간,건조,비,34.0,2.0,5.0,4.0,45.0,79.57729374788283
834,권선구,호매실동,주간,서리/결빙,비,36.0,2.0,3.0,4.0,45.0,81.38185526018457
835,장안구,조원동,야간,젖음/습기,흐림,37.0,1.0,4.0,3.0,45.0,82.34181494049335
836,장안구,파장동,야간,기타,흐림,39.0,1.0,2.0,3.0,45.0,84.1463764527951
837,권선구,호매실동,주간,기타,맑음,36.0,2.0,2.0,5.0,45.0,81.38185526018458
838,장안구,파장동,야간,적설,비,39.0,1.0,1.0,4.0,45.0,84.14637645279508
839,권선구,구운동,야간,적설,기타,42.0,1.0,1.0,1.0,45.0,86.85321872124771
840,장안구,조원동,야간,건조,눈,37.0,1.0,5.0,2.0,45.0,82.34181494049335
841,장안구,송죽동,야간,적설,비,39.0,1.0,1.0,4.0,45.0,84.14637645279508
842,영통구,원천동,주간,적설,기타,41.0,2.0,1.0,1.0,45.0,85.89325904093894
843,권선구,서둔동,주간,건조,맑음,33.0,2.0,5.0,5.0,45.0,78.67501299173198
844,장안구,송죽동,야간,기타,흐림,39.0,1.0,2.0,3.0,45.0,84.1463764527951
845,장안구,조원동,야간,서리/결빙,비,37.0,1.0,3.0,4.0,45.0,82.34181494049334
846,장안구,송죽동,야간,서리/결빙,눈,39.0,1.0,3.0,2.0,45.0,84.14637645279508
847,팔달구,지동,주간,건조,흐림,35.0,2.0,5.0,3.0,45.0,80.47957450403372
848,장안구,송죽동,야간,젖음/습기,기타,39.0,1.0,4.0,1.0,45.0,84.1463764527951
849,팔달구,지동,주간,젖음/습기,비,35.0,2.0,4.0,4.0,45.0,80.4795745040337
850,팔달구,지동,주간,서리/결빙,맑음,35.0,2.0,3.0,5.0,45.0,80.4795745040337
851,장안구,파장동,야간,서리/결빙,눈,39.0,1.0,3.0,2.0,45.0,84.14637645279508
852,권선구,금곡동,주간,젖음/습기,맑음,34.0,2.0,4.0,5.0,45.0,79.57729374788283
853,장안구,송죽동,주간,서리/결빙,기타,39.0,2.0,3.0,1.0,45.0,84.0886975286372
854,장안구,조원동,주간,기타,비,37.0,2.0,2.0,4.0,45.0,82.28413601633545
855,장안구,조원동,주간,적설,맑음,37.0,2.0,1.0,5.0,45.0,82.28413601633545
856,장안구,연무동,주간,서리/결빙,기타,39.0,2.0,3.0,1.0,45.0,84.0886975286372
857,장안구,연무동,주간,기타,눈,39.0,2.0,2.0,2.0,45.0,84.0886975286372
858,팔달구,지동,야간,젖음/습기,맑음,35.0,1.0,4.0,5.0,45.0,80.5372534281916
859,장안구,연무동,주간,적설,흐림,39.0,2.0,1.0,3.0,45.0,84.0886975286372
860,장안구,연무동,야간,적설,비,39.0,1.0,1.0,4.0,45.0,84.14637645279508
861,장안구,연무동,야간,기타,흐림,39.0,1.0,2.0,3.0,45.0,84.1463764527951
862,권선구,호매실동,야간,젖음/습기,비,36.0,1.0,4.0,4.0,45.0,81.43953418434246
863,장안구,파장동,주간,서리/결빙,기타,39.0,2.0,3.0,1.0,45.0,84.0886975286372
864,장안구,파장동,주간,기타,눈,39.0,2.0,2.0,2.0,45.0,84.0886975286372
865,장안구,연무동,야간,젖음/습기,기타,39.0,1.0,4.0,1.0,45.0,84.1463764527951
866,장안구,파장동,주간,적설,흐림,39.0,2.0,1.0,3.0,45.0,84.0886975286372
867,권선구,호매실동,야간,건조,흐림,36.0,1.0,5.0,3.0,45.0,81.43953418434248
868,장안구,조원동,주간,서리/결빙,흐림,37.0,2.0,3.0,3.0,45.0,82.28413601633545
869,장안구,조원동,주간,건조,기타,37.0,2.0,5.0,1.0,45.0,82.28413601633547
870,권선구,호매실동,야간,서리/결빙,맑음,36.0,1.0,3.0,5.0,45.0,81.43953418434246
871,권선구,금곡동,야간,건조,맑음,34.0,1.0,5.0,5.0,45.0,79.63497267204073
872,장안구,송죽동,주간,기타,눈,39.0,2.0,2.0,2.0,45.0,84.0886975286372
873,팔달구,지동,야간,건조,비,35.0,1.0,5.0,4.0,45.0,80.5372534281916
874,장안구,송죽동,주간,적설,흐림,39.0,2.0,1.0,3.0,45.0,84.0886975286372
875,장안구,조원동,주간,젖음/습기,눈,37.0,2.0,4.0,2.0,45.0,82.28413601633545
876,장안구,연무동,야간,서리/결빙,눈,39.0,1.0,3.0,2.0,45.0,84.14637645279508
877,장안구,송죽동,야간,기타,눈,39.0,1.0,2.0,2.0,44.0,83.05715187752689
878,팔달구,지동,주간,건조,눈,35.0,2.0,5.0,2.0,44.0,79.39034992876552
879,장안구,연무동,주간,적설,눈,39.0,2.0,1.0,2.0,44.0,82.999472953369
880,장안구,연무동,주간,기타,기타,39.0,2.0,2.0,1.0,44.0,82.99947295336901
881,팔달구,지동,주간,서리/결빙,비,35.0,2.0,3.0,4.0,44.0,79.3903499287655
882,장안구,송죽동,야간,적설,흐림,39.0,1.0,1.0,3.0,44.0,83.05715187752689
883,장안구,파장동,주간,기타,기타,39.0,2.0,2.0,1.0,44.0,82.99947295336901
884,권선구,호매실동,주간,적설,맑음,36.0,2.0,1.0,5.0,44.0,80.29263068491638
885,팔달구,지동,야간,건조,흐림,35.0,1.0,5.0,3.0,44.0,79.44802885292341
886,권선구,호매실동,주간,서리/결빙,흐림,36.0,2.0,3.0,3.0,44.0,80.29263068491638
887,권선구,금곡동,주간,젖음/습기,비,34.0,2.0,4.0,4.0,44.0,78.48806917261463
888,권선구,금곡동,주간,서리/결빙,맑음,34.0,2.0,3.0,5.0,44.0,78.48806917261463
889,권선구,금곡동,주간,건조,흐림,34.0,2.0,5.0,3.0,44.0,78.48806917261464
890,권선구,호매실동,주간,건조,기타,36.0,2.0,5.0,1.0,44.0,80.29263068491639
891,권선구,호매실동,야간,건조,눈,36.0,1.0,5.0,2.0,44.0,80.35030960907427
892,장안구,연무동,야간,서리/결빙,기타,39.0,1.0,3.0,1.0,44.0,83.05715187752689
893,장안구,연무동,야간,기타,눈,39.0,1.0,2.0,2.0,44.0,83.05715187752689
894,장안구,조원동,야간,건조,기타,37.0,1.0,5.0,1.0,44.0,81.25259036522516
895,권선구,호매실동,주간,젖음/습기,눈,36.0,2.0,4.0,2.0,44.0,80.29263068491638
896,장안구,연무동,야간,적설,흐림,39.0,1.0,1.0,3.0,44.0,83.05715187752689
897,팔달구,지동,야간,젖음/습기,비,35.0,1.0,4.0,4.0,44.0,79.4480288529234
898,권선구,호매실동,주간,기타,비,36.0,2.0,2.0,4.0,44.0,80.29263068491638
899,권선구,호매실동,야간,서리/결빙,비,36.0,1.0,3.0,4.0,44.0,80.35030960907426
900,팔달구,지동,야간,서리/결빙,맑음,35.0,1.0,3.0,5.0,44.0,79.4480288529234
901,팔달구,지동,주간,젖음/습기,흐림,35.0,2.0,4.0,3.0,44.0,79.39034992876552
902,장안구,조원동,야간,기타,비,37.0,1.0,2.0,4.0,44.0,81.25259036522515
903,팔달구,지동,주간,기타,맑음,35.0,2.0,2.0,5.0,44.0,79.39034992876552
904,장안구,송죽동,주간,적설,눈,39.0,2.0,1.0,2.0,44.0,82.999472953369
905,권선구,금곡동,야간,건조,비,34.0,1.0,5.0,4.0,44.0,78.54574809677253
906,권선구,금곡동,야간,젖음/습기,맑음,34.0,1.0,4.0,5.0,44.0,78.54574809677253
907,장안구,조원동,주간,적설,비,37.0,2.0,1.0,4.0,44.0,81.19491144106725
908,권선구,서둔동,야간,건조,맑음,33.0,1.0,5.0,5.0,44.0,77.64346734062167
909,장안구,조원동,주간,기타,흐림,37.0,2.0,2.0,3.0,44.0,81.19491144106726
910,권선구,호매실동,야간,기타,맑음,36.0,1.0,2.0,5.0,44.0,80.35030960907427
911,권선구,서둔동,주간,건조,비,33.0,2.0,5.0,4.0,44.0,77.58578841646377
912,장안구,파장동,야간,기타,눈,39.0,1.0,2.0,2.0,44.0,83.05715187752689
913,권선구,서둔동,주간,젖음/습기,맑음,33.0,2.0,4.0,5.0,44.0,77.58578841646377
914,장안구,조원동,야간,젖음/습기,눈,37.0,1.0,4.0,2.0,44.0,81.25259036522515
915,장안구,송죽동,주간,기타,기타,39.0,2.0,2.0,1.0,44.0,82.99947295336901
916,장안구,파장동,야간,적설,흐림,39.0,1.0,1.0,3.0,44.0,83.05715187752689
917,장안구,율전동,주간,건조,맑음,32.0,2.0,5.0,5.0,44.0,76.6835076603129
918,장안구,송죽동,야간,서리/결빙,기타,39.0,1.0,3.0,1.0,44.0,83.05715187752689
919,영통구,원천동,야간,적설,기타,41.0,1.0,1.0,1.0,44.0,84.86171338982864
920,권선구,호매실동,야간,젖음/습기,흐림,36.0,1.0,4.0,3.0,44.0,80.35030960907427
921,장안구,조원동,주간,젖음/습기,기타,37.0,2.0,4.0,1.0,44.0,81.19491144106726
922,장안구,파장동,야간,서리/결빙,기타,39.0,1.0,3.0,1.0,44.0,83.05715187752689
923,장안구,파장동,주간,적설,눈,39.0,2.0,1.0,2.0,44.0,82.999472953369
924,장안구,조원동,야간,서리/결빙,흐림,37.0,1.0,3.0,3.0,44.0,81.25259036522515
925,장안구,조원동,주간,서리/결빙,눈,37.0,2.0,3.0,2.0,44.0,81.19491144106725
926,장안구,조원동,야간,적설,맑음,37.0,1.0,1.0,5.0,44.0,81.25259036522515
927,권선구,금곡동,야간,건조,흐림,34.0,1.0,5.0,3.0,43.0,77.45652352150434
928,권선구,금곡동,주간,젖음/습기,흐림,34.0,2.0,4.0,3.0,43.0,77.39884459734644
929,장안구,연무동,야간,적설,눈,39.0,1.0,1.0,2.0,43.0,81.96792730225869
930,장안구,연무동,야간,기타,기타,39.0,1.0,2.0,1.0,43.0,81.9679273022587
931,장안구,송죽동,주간,적설,기타,39.0,2.0,1.0,1.0,43.0,81.9102483781008
932,장안구,파장동,야간,기타,기타,39.0,1.0,2.0,1.0,43.0,81.9679273022587
933,장안구,조원동,야간,기타,흐림,37.0,1.0,2.0,3.0,43.0,80.16336578995696
934,장안구,조원동,야간,젖음/습기,기타,37.0,1.0,4.0,1.0,43.0,80.16336578995696
935,권선구,금곡동,주간,기타,맑음,34.0,2.0,2.0,5.0,43.0,77.39884459734644
936,장안구,조원동,야간,적설,비,37.0,1.0,1.0,4.0,43.0,80.16336578995694
937,장안구,파장동,야간,적설,눈,39.0,1.0,1.0,2.0,43.0,81.96792730225869
938,팔달구,지동,주간,적설,맑음,35.0,2.0,1.0,5.0,43.0,78.30112535349731
939,팔달구,지동,야간,기타,맑음,35.0,1.0,2.0,5.0,43.0,78.35880427765521
940,팔달구,지동,야간,젖음/습기,흐림,35.0,1.0,4.0,3.0,43.0,78.35880427765521
941,권선구,금곡동,주간,서리/결빙,비,34.0,2.0,3.0,4.0,43.0,77.39884459734643
942,팔달구,지동,주간,젖음/습기,눈,35.0,2.0,4.0,2.0,43.0,78.30112535349731
943,팔달구,지동,주간,서리/결빙,흐림,35.0,2.0,3.0,3.0,43.0,78.30112535349731
944,팔달구,지동,주간,건조,기타,35.0,2.0,5.0,1.0,43.0,78.30112535349733
